cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,right_censored,reference_cell,primary_cell,zero_family,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
1,s0-step200-f4of5-d1of4,4,5,0.800,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,1
2,s0-step200-f4of5-d1of2,4,5,0.800,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,2
3,s0-step200-f4of5-d3of4,4,5,0.800,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,3
4,s0-step200-f17of20-d1of4,17,20,0.850,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,4
5,s0-step200-f17of20-d1of2,17,20,0.850,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,5
6,s0-step200-f17of20-d3of4,17,20,0.850,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,6
7,s0-step200-f9of10-d1of4,9,10,0.900,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,7
8,s0-step200-f9of10-d1of2,9,10,0.900,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,8
9,s0-step200-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,9
10,s0-step200-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,10
11,s0-step200-f19of20-d1of2,19,20,0.950,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,11
12,s0-step200-f19of20-d3of4,19,20,0.950,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,12
13,s0-step200-f39of40-d1of4,39,40,0.975,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,13
14,s0-step200-f39of40-d1of2,39,40,0.975,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,14
15,s0-step200-f39of40-d3of4,39,40,0.975,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,15
16,s0-step200-f99of100-d1of4,99,100,0.990,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,16
17,s0-step200-f99of100-d1of2,99,100,0.990,1,2,0.50,0,False,False,True,True,stage18-scaling-24a9adb84176,0,1,200,17
18,s0-step200-f99of100-d3of4,99,100,0.990,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,1,200,18
19,s0-step3400-f4of5-d1of4,4,5,0.800,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,19
20,s0-step3400-f4of5-d1of2,4,5,0.800,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,20
21,s0-step3400-f4of5-d3of4,4,5,0.800,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,21
22,s0-step3400-f17of20-d1of4,17,20,0.850,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,22
23,s0-step3400-f17of20-d1of2,17,20,0.850,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,23
24,s0-step3400-f17of20-d3of4,17,20,0.850,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,24
25,s0-step3400-f9of10-d1of4,9,10,0.900,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,25
26,s0-step3400-f9of10-d1of2,9,10,0.900,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,26
27,s0-step3400-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,27
28,s0-step3400-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,28
29,s0-step3400-f19of20-d1of2,19,20,0.950,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,29
